Rk,School,Tourney Wins,W,L,W-L%,"SRS
▼",SOS,W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
103,San Diego State,99,21,13,0.618,5.29,2.47,11,7,14,3,4,7,2437,2291,1360,845,1940,0.436,261,721,0.362,486,679,0.716,346,1228,487,197,113,424,638
104,Liberty NCAA,1,29,7,0.806,5.27,-3.88,14,2,16,1,11,3,2654,2209,1440,963,1977,0.487,322,873,0.369,406,524,0.775,270,1174,532,223,96,395,543
105,East Tennessee State,99,24,10,0.706,5.21,-1.79,13,5,13,3,8,6,2707,2371,1375,1004,2067,0.486,274,758,0.361,425,634,0.67,442,1351,534,252,135,483,603
106,Saint Louis NCAA,99,23,13,0.639,5.06,2.23,10,8,15,2,4,8,2399,2297,1440,855,2052,0.417,205,675,0.304,484,809,0.598,492,1428,460,254,145,464,634
107,Vermont NCAA,99,27,7,0.794,4.88,-4.18,14,2,16,2,11,4,2508,2143,1370,864,1887,0.458,273,761,0.359,507,678,0.748,304,1194,399,188,136,377,568
108,Akron,99,17,16,0.515,4.86,1.09,8,10,14,3,1,10,2271,2107,1325,797,1948,0.409,297,929,0.32,380,539,0.705,312,1204,399,185,106,388,569
109,Hofstra,99,27,8,0.771,4.68,-4.53,15,3,15,1,10,6,2919,2553,1440,998,2055,0.486,308,800,0.385,615,767,0.802,305,1170,492,228,122,342,526
110,Northern Kentucky NCAA,99,26,9,0.743,4.67,-2.39,13,5,17,1,7,7,2747,2410,1410,979,2047,0.478,306,844,0.363,483,725,0.666,364,1298,592,218,139,441,664
111,Tulsa,99,18,14,0.563,4.65,3.86,8,10,14,3,3,8,2296,2271,1290,776,1732,0.448,222,652,0.34,522,751,0.695,239,1119,430,176,76,404,529
112,Bowling Green State,99,22,12,0.647,4.24,0.86,12,6,14,2,5,8,2668,2496,1370,945,2134,0.443,272,762,0.357,506,755,0.67,408,1396,427,227,90,412,596
113,North Carolina-Greensboro,99,29,7,0.806,4.08,-0.9,15,3,15,2,11,4,2738,2443,1445,997,2184,0.457,280,818,0.342,464,666,0.697,399,1251,453,315,140,423,631
114,Loyola (IL),99,20,14,0.588,3.99,-0.16,12,6,13,4,5,7,2231,2066,1360,831,1687,0.493,206,563,0.366,363,545,0.666,190,1013,468,220,78,407,471
115,Northeastern NCAA,99,23,11,0.676,3.95,-0.7,14,4,11,2,8,6,2564,2406,1385,880,1848,0.476,328,858,0.382,476,634,0.751,237,1075,480,211,74,381,539
116,Grand Canyon,99,20,14,0.588,3.85,-1.49,10,6,12,2,5,8,2560,2353,1370,907,2006,0.452,257,777,0.331,487,666,0.731,350,1238,478,207,75,411,598
117,Georgia Southern,99,21,12,0.636,3.75,0.13,12,6,10,4,7,7,2726,2489,1330,1012,2028,0.499,204,632,0.323,498,720,0.692,320,1190,403,255,132,451,590
118,Old Dominion NCAA,99,26,9,0.743,3.74,-1.18,13,5,14,2,8,4,2300,2128,1400,823,2026,0.406,264,756,0.349,388,585,0.663,418,1365,439,197,160,408,580
119,Boise State,99,13,20,0.394,3.61,1.08,7,11,8,7,3,10,2364,2263,1330,845,1801,0.469,252,715,0.352,422,584,0.723,242,1016,398,200,68,379,570
120,Vanderbilt,99,9,23,0.281,3.57,7.79,0,18,8,10,1,10,2180,2315,1285,736,1750,0.421,230,739,0.311,478,710,0.673,325,1139,371,154,126,454,568
121,Ball State,99,16,17,0.485,3.39,1.21,6,12,7,7,8,7,2478,2362,1340,889,1892,0.47,202,621,0.325,498,709,0.702,308,1243,426,217,118,480,579
122,St. Bonaventure,99,18,16,0.529,3.34,0.25,12,6,9,5,6,7,2250,2145,1385,821,1914,0.429,208,635,0.328,400,539,0.742,333,1183,417,199,164,421,553
123,Wright State,99,21,14,0.6,3.29,-0.89,13,5,15,2,5,8,2561,2365,1405,885,2028,0.436,281,818,0.344,510,692,0.737,382,1229,484,214,72,402,545
124,Western Kentucky,99,20,14,0.588,3.14,0.96,11,7,10,4,6,8,2429,2355,1380,853,1910,0.447,199,608,0.327,524,724,0.724,338,1256,417,235,174,466,528
125,Utah Valley,99,25,10,0.714,3,-2.3,12,4,14,1,8,8,2697,2474,1400,930,1929,0.482,283,740,0.382,554,764,0.725,318,1271,484,201,89,487,612
126,Loyola Marymount,99,22,12,0.647,2.93,0.9,8,8,12,4,8,7,2278,2125,1360,817,1800,0.454,163,510,0.32,481,645,0.746,314,1098,460,250,102,425,602
127,Rhode Island,99,18,15,0.545,2.83,1.19,9,9,9,5,5,7,2293,2239,1335,821,1914,0.429,172,615,0.28,479,704,0.68,375,1194,401,235,129,405,582
128,Central Michigan,99,23,12,0.657,2.79,-0.34,10,8,13,4,7,6,2896,2690,1425,991,2177,0.455,305,822,0.371,609,908,0.671,419,1321,467,267,107,425,593
129,Northern Illinois,99,17,17,0.5,2.58,1.11,8,10,10,6,5,9,2506,2413,1375,940,1995,0.471,229,642,0.357,397,543,0.731,304,1179,374,188,75,404,653
130,Southern Mississippi,99,20,13,0.606,2.58,-0.83,11,7,11,3,7,7,2392,2160,1330,899,1929,0.466,275,712,0.386,321,489,0.656,274,1178,553,253,110,345,507
131,Drake,99,24,10,0.706,2.52,-0.66,12,6,13,2,7,6,2563,2387,1385,908,1943,0.467,279,773,0.361,468,618,0.757,279,1214,518,180,130,449,568
132,Georgia State NCAA,99,24,10,0.706,2.44,0.65,13,5,13,1,7,7,2598,2491,1360,903,1968,0.459,330,859,0.384,462,694,0.666,273,1110,415,269,158,391,583
133,College of Charleston,99,24,9,0.727,2.36,-2.95,12,6,13,2,8,5,2453,2265,1330,878,1818,0.483,227,667,0.34,470,615,0.764,260,1060,387,216,76,347,486
134,Pennsylvania,99,19,12,0.613,2.04,-0.76,7,7,10,4,8,5,2250,2117,1265,821,1810,0.454,282,803,0.351,326,511,0.638,270,1101,465,210,76,395,500
135,Harvard,99,19,12,0.613,1.86,0.66,10,4,9,2,8,9,2222,2174,1265,787,1711,0.46,260,722,0.36,388,538,0.721,288,1119,369,174,123,491,554
136,Jacksonville State,99,24,9,0.727,1.59,-5.47,15,3,11,1,10,7,2574,2283,1345,953,2063,0.462,200,634,0.315,468,630,0.743,400,1310,451,245,138,440,553
137,Nevada-Las Vegas,99,17,14,0.548,1.58,0.48,11,7,10,6,6,5,2276,2242,1250,791,1852,0.427,251,745,0.337,443,647,0.685,408,1204,401,184,115,401,556
138,Texas State,99,24,10,0.706,1.54,-3,12,6,11,4,10,5,2470,2204,1370,876,1971,0.444,244,744,0.328,474,694,0.683,409,1291,493,234,84,455,667
139,Montana NCAA,99,26,9,0.743,1.5,-5.05,16,4,12,2,9,5,2665,2397,1405,975,1983,0.492,287,763,0.376,428,621,0.689,293,1176,510,229,106,416,655
140,Southern Illinois,99,17,15,0.531,1.39,-0.17,10,8,9,6,7,7,2194,2144,1280,802,1720,0.466,213,570,0.374,377,550,0.685,289,1081,438,212,129,447,474
141,Radford,99,22,11,0.667,1.28,-1.95,12,4,11,3,9,7,2440,2247,1330,893,1938,0.461,285,751,0.379,369,515,0.717,335,1170,467,196,101,358,528
142,Kent State,99,22,11,0.667,1.26,0.61,11,7,14,3,8,7,2481,2417,1330,878,2032,0.432,261,775,0.337,464,641,0.724,412,1185,430,226,119,378,601
143,Colgate NCAA,0,24,11,0.686,1.23,-3.83,13,5,15,1,9,9,2648,2458,1415,955,1995,0.479,320,815,0.393,418,563,0.742,322,1240,541,213,121,456,547
144,Wake Forest,99,11,20,0.355,1.21,8.47,4,14,8,8,1,10,2119,2344,1250,714,1812,0.394,197,640,0.308,494,681,0.725,399,1174,329,150,77,417,555
145,Louisiana Tech,99,20,13,0.606,0.95,-2.31,9,9,15,1,4,10,2386,2235,1335,840,1928,0.436,253,756,0.335,453,690,0.657,368,1204,440,190,115,386,535
146,Pepperdine,99,16,18,0.471,0.9,0.63,6,10,9,5,2,11,2572,2529,1370,865,1949,0.444,313,819,0.382,529,696,0.76,290,1085,479,229,95,432,639
147,George Mason,99,18,15,0.545,0.84,0.08,11,7,11,6,6,6,2314,2289,1330,825,1855,0.445,210,637,0.33,454,634,0.716,323,1166,399,204,97,428,563
